Property_ID,Host_ID,Property_Type,Room_Type,Location_City,Location_Country,No_of_Bedrooms,No_of_Bathrooms,Amenities,Price_per_Night
286,257,Apartment,Entire place,Morrisborough,Haiti,5,3,"up, its, seat, never, realize",391.26
287,145,House,Shared room,Palmerton,Mongolia,2,2,"development, somebody, just, board, sister",418.21
288,43,Apartment,Shared room,Lake Matthewfurt,Northern Mariana Islands,2,2,"voice, off, threat, line, year",623.3
289,129,Studio,Shared room,Banksbury,Saudi Arabia,4,3,"color, season, industry, inside, morning",537.56
290,289,Studio,Entire place,Port Lauraside,Argentina,3,2,"now, gun, amount, action, lawyer",539.74
291,15,Villa,Entire place,Robertfort,Togo,2,3,"week, behind, clearly, structure, page",659.92
292,91,Villa,Shared room,Keithland,Jersey,5,2,"feel, painting, purpose, specific, why",471.5
293,190,Apartment,Private room,North Jonathanchester,Slovakia (Slovak Republic),3,3,"west, budget, out, place, happen",359.35
294,154,Studio,Shared room,Perkinstown,Austria,4,1,"anything, including, perhaps, defense, left",313.89
295,282,Villa,Shared room,East Alice,Marshall Islands,3,1,"rich, kid, during, become, upon",568.3
296,203,Studio,Private room,Johnmouth,Zimbabwe,3,2,"future, hundred, several, provide, always",767.97
297,236,Studio,Private room,Austintown,Ireland,5,3,"main, finish, hour, girl, range",852.91
298,51,Studio,Entire place,Foxborough,Nauru,5,1,"trouble, school, Republican, interesting, attention",707.19
299,172,Apartment,Shared room,Cindyside,Netherlands Antilles,3,2,"myself, season, team, commercial, current",664.3
300,8,Apartment,Shared room,Lake Jenniferview,Bouvet Island (Bouvetoya),5,1,"part, rise, town, list, consumer",963.81
301,26,Studio,Entire place,Hamiltontown,Eritrea,4,3,"loss, buy, onto, possible, story",787.25
302,83,House,Entire place,West Michellemouth,North Macedonia,3,3,"against, what, view, PM, movement",83.77
303,51,Villa,Shared room,Freemanmouth,Burundi,3,1,"ground, affect, thank, citizen, window",71.68
304,67,Apartment,Entire place,Brandonville,Mauritius,5,3,"church, success, between, role, building",819.12
305,149,Apartment,Shared room,Mikeport,Singapore,1,2,"next, cost, real, west, add",159.51
306,59,House,Entire place,North Joshua,Canada,1,2,"produce, pressure, common, cut, institution",824.37
307,85,Apartment,Shared room,Port Natalieville,Argentina,1,3,"bad, knowledge, suggest, player, trade",78.91
308,207,Apartment,Entire place,West Miranda,Micronesia,2,3,"professor, high, possible, week, rise",622.74
309,7,Villa,Shared room,Hallhaven,Greece,3,1,"our, cause, matter, perform, approach",147.7
310,153,Apartment,Entire place,Michelleberg,Palestinian Territory,3,2,"admit, perhaps, name, or, several",827.65
311,55,Villa,Entire place,Arielview,Burundi,1,1,"not, rock, point, task, than",802.24
312,127,Villa,Entire place,West Cindyview,Yemen,2,3,"week, degree, learn, star, prove",699.33
313,278,Studio,Private room,Robertland,Saint Vincent and the Grenadines,3,3,"listen, hundred, point, military, assume",779.29
314,218,Studio,Private room,New Jillianton,Bosnia and Herzegovina,1,3,"significant, account, beat, economic, dream",179.67
315,242,House,Private room,Jessicaberg,Oman,3,1,"become, environmental, finally, model, expect",684.98
316,214,Studio,Private room,Cassandraside,Falkland Islands (Malvinas),2,2,"might, feeling, record, rate, expect",95.64
317,28,Villa,Private room,Stephaniebury,Equatorial Guinea,1,2,"check, each, she, keep, picture",212.2
318,75,Studio,Entire place,Karaberg,Iraq,5,1,"community, truth, college, ability, economy",375.65
319,195,House,Shared room,East Melissa,Lebanon,5,1,"by, agency, will, effect, about",575.29
320,187,Studio,Private room,South Barry,Guinea-Bissau,1,1,"receive, even, rich, firm, relate",726.24
321,23,Studio,Shared room,North Danielbury,Senegal,4,3,"fine, nice, author, drive, several",536.13
322,266,Villa,Shared room,South Lindseyville,Russian Federation,5,3,"international, perhaps, third, campaign, suddenly",914.92
323,124,Apartment,Shared room,Littleport,Kazakhstan,3,2,"ever, way, sort, enough, control",733.06
324,25,Villa,Private room,East Kevinshire,Ecuador,3,3,"successful, lot, force, best, anyone",637.03
325,15,Studio,Entire place,North Alyssamouth,Burundi,2,2,"nor, itself, what, impact, another",210.33
326,95,Studio,Shared room,North Nicoleville,Hong Kong,2,2,"great, partner, personal, mention, management",221.83
327,20,Apartment,Private room,Stephensonborough,Northern Mariana Islands,3,3,"black, risk, number, until, visit",730.74
328,80,Studio,Shared room,West Gregoryshire,Guernsey,3,2,"would, rather, radio, history, education",598.46
329,76,House,Shared room,East Raymond,Equatorial Guinea,4,1,"expert, simple, full, travel, early",403.61
330,182,Villa,Entire place,Maryview,Mozambique,4,1,"every, use, adult, them, somebody",383.79
331,47,Villa,Shared room,Lake Kenneth,Pakistan,2,1,"risk, foreign, far, owner, common",351.81
332,194,Studio,Shared room,Gamblehaven,Marshall Islands,4,2,"there, fall, tax, store, detail",892.85
333,144,House,Entire place,East Jeremy,Russian Federation,5,3,"effect, design, in, education, bring",669.37
334,272,House,Shared room,West Ronaldstad,Singapore,1,2,"bank, investment, both, maintain, near",849.71
335,191,Apartment,Shared room,Matthewsmouth,Morocco,2,1,"other, test, whom, one, treat",646.62
336,3,Apartment,Entire place,Ashleyborough,Tajikistan,3,3,"cause, fire, floor, concern, finally",586.58
337,231,Studio,Shared room,Juanland,Slovenia,2,2,"her, through, collection, service, above",608.16
338,15,Studio,Shared room,Williamsburgh,Namibia,5,1,"worry, sea, listen, enter, yourself",531.5
339,183,Apartment,Entire place,Chambersburgh,Spain,2,2,"improve, thank, response, culture, manager",802.78
340,101,Apartment,Private room,South Wendy,Aruba,4,2,"eat, leave, food, area, sea",427.81
341,254,Apartment,Shared room,Barronmouth,Italy,5,1,"while, clear, run, sign, green",384.87
342,20,House,Private room,West Tiffanyland,Pakistan,4,3,"total, staff, after, above, yet",524.97
343,132,House,Entire place,East Jonathanview,Macao,2,1,"wonder, lead, section, yourself, actually",723.35
344,188,Apartment,Private room,Briantown,Uruguay,1,2,"mind, wind, easy, experience, then",871.71
345,87,Villa,Private room,Lauraton,Panama,4,2,"care, develop, standard, cut, wish",140.15
346,124,Apartment,Entire place,Torresside,Cote d'Ivoire,5,3,"language, explain, sometimes, again, religious",877.75
347,227,Villa,Private room,Port Justin,Mayotte,2,3,"safe, down, civil, PM, respond",68.87
348,98,Villa,Private room,New Jessicatown,Canada,2,1,"want, commercial, firm, perhaps, machine",923.22
349,31,House,Entire place,Robinsonmouth,Costa Rica,3,3,"song, important, receive, sound, late",448.27
350,119,Studio,Shared room,Carrieside,Sao Tome and Principe,4,3,"state, call, cover, knowledge, early",90.53
351,44,Apartment,Entire place,West Alison,Martinique,2,1,"fear, anything, between, at, win",366.68
352,230,House,Private room,Michaelbury,India,2,1,"consumer, later, argue, some, say",969.25
353,257,Studio,Entire place,Port Traceyville,Guatemala,4,3,"dark, group, allow, anyone, director",141.74
354,45,Villa,Shared room,Stuartberg,Papua New Guinea,4,1,"local, collection, character, vote, message",853.21
355,280,House,Entire place,Bakerhaven,Kiribati,1,3,"letter, option, example, guy, myself",858.66
356,296,Apartment,Shared room,Monicahaven,Pakistan,1,2,"southern, energy, adult, officer, few",931.96
357,107,Apartment,Private room,Port Williamfurt,United Arab Emirates,4,1,"Mrs, can, traditional, bring, PM",728.38
358,106,Villa,Entire place,West Karenchester,Bermuda,4,1,"sell, win, since, appear, personal",770.18
359,260,Villa,Private room,Port Laurenborough,Kyrgyz Republic,3,1,"significant, evidence, reflect, high, avoid",321.07
360,294,Apartment,Private room,Drewfurt,Uganda,5,2,"serve, success, child, also, administration",671.53
361,73,Studio,Shared room,Lake Jermainehaven,Bulgaria,3,2,"successful, process, billion, city, get",808.53
362,247,Studio,Shared room,East Amandaport,Panama,4,1,"responsibility, final, sea, Congress, project",242.97
363,145,House,Shared room,Lake Paulshire,Turkey,2,2,"sport, plant, feeling, government, expert",128.71
364,32,House,Entire place,North Megan,Senegal,3,1,"always, budget, necessary, development, actually",537.25
365,168,House,Entire place,Patriciaside,United Kingdom,4,2,"from, generation, even, lawyer, most",486.39
366,183,House,Entire place,Michaelstad,Marshall Islands,2,3,"sister, remember, I, focus, spend",802.75
367,116,Villa,Entire place,Josephfort,Isle of Man,1,2,"early, trade, among, generation, job",681.94
368,21,Villa,Shared room,Lake Ashleyside,Egypt,1,3,"soldier, bill, without, bring, which",803.87
369,93,Apartment,Entire place,West Heather,Wallis and Futuna,4,1,"among, boy, Mr, radio, Mrs",133.84
370,219,Studio,Entire place,Markville,Palestinian Territory,3,3,"where, sea, people, traditional, prove",959.59
371,155,House,Private room,Madisonside,Rwanda,2,3,"ok, certainly, picture, those, would",305.53
372,66,Apartment,Entire place,Edwardsview,Anguilla,4,1,"food, catch, institution, arrive, however",604.62
373,279,Villa,Shared room,Wilkinstown,Botswana,5,1,"magazine, senior, continue, maybe, why",969.74
374,209,Studio,Shared room,Port Kathleen,American Samoa,3,1,"treat, once, almost, raise, eye",408.62
375,194,Apartment,Private room,Brownbury,Paraguay,3,1,"by, consumer, control, commercial, contain",293.03
376,112,Villa,Entire place,Lake Phillipborough,Saint Lucia,3,1,"speak, attorney, law, everything, outside",385.99
377,100,Apartment,Private room,Port Williambury,Belgium,4,1,"anyone, citizen, amount, relate, indeed",529.93
378,85,Apartment,Entire place,East Davidtown,Micronesia,4,2,"before, despite, foreign, eye, pass",314.27
379,22,Apartment,Private room,Hernandeztown,Northern Mariana Islands,4,3,"property, worker, couple, memory, big",236.59
380,226,Apartment,Shared room,Lake Seanville,Switzerland,3,2,"remember, process, trade, detail, wear",694.38
381,97,Studio,Private room,South Juliatown,Angola,3,2,"change, research, hotel, sometimes, list",759.7
382,259,House,Entire place,East Andreaport,North Macedonia,5,3,"choice, speech, artist, road, anything",707.01
383,168,Studio,Shared room,Meyersport,Cuba,2,3,"type, center, author, top, respond",171.68
384,191,Villa,Private room,Christineport,French Guiana,3,3,"bring, happen, shake, stop, play",642.42
385,222,Villa,Shared room,Jessicaborough,Yemen,5,2,"option, experience, federal, interesting, task",988.84
386,158,Apartment,Entire place,Esparzafurt,Ukraine,2,2,"fund, better, current, understand, executive",597.81
387,112,House,Entire place,East Elizabethfort,Guatemala,1,3,"generation, art, almost, enjoy, pick",139.0
388,177,Apartment,Private room,Hessshire,Venezuela,5,3,"firm, language, up, wrong, compare",953.2
389,279,Apartment,Shared room,Jamesmouth,Trinidad and Tobago,5,2,"race, ago, general, matter, class",771.75
390,135,Apartment,Private room,East Nicole,Yemen,1,2,"work, seat, marriage, employee, student",668.5
391,12,Apartment,Private room,Floydville,Panama,2,3,"fine, recently, someone, southern, baby",913.5
392,299,Villa,Private room,Port Jillian,France,5,1,"public, history, treat, ago, develop",438.81
393,165,Apartment,Entire place,Donaldberg,Dominica,2,1,"raise, result, yourself, paper, speak",889.47
394,191,Villa,Private room,Lucaston,Mayotte,2,3,"by, PM, set, mother, quickly",270.16
395,12,House,Private room,North Staceytown,Micronesia,5,3,"speak, range, clearly, watch, very",373.02
396,239,House,Private room,Port Allisonchester,Norway,4,3,"relationship, case, civil, indeed, forward",155.35
397,121,House,Private room,Blanchardton,Malta,5,3,"behavior, few, beautiful, recent, if",757.49
398,220,Villa,Entire place,Johnfurt,Canada,5,1,"system, say, suddenly, tough, economy",69.3
399,11,Apartment,Shared room,South Briannaberg,Yemen,2,2,"act, field, enough, film, general",918.84
400,27,Studio,Entire place,Port Lawrence,Zimbabwe,5,2,"energy, stay, difference, reason, tonight",885.27
401,87,Villa,Entire place,East Stephenburgh,Saint Martin,4,1,"that, matter, black, one, help",828.92
402,94,Studio,Shared room,East Juliaport,Canada,3,3,"bad, candidate, art, side, off",262.62
403,106,Villa,Private room,North John,Slovenia,2,2,"great, paper, wife, particular, remember",146.96
404,49,Villa,Entire place,East Angie,Maldives,1,3,"newspaper, summer, Mr, yet, as",878.69
405,100,Studio,Shared room,Lake Janicechester,Ecuador,4,3,"reduce, lose, most, fill, yeah",452.08
406,164,Studio,Private room,Taylorberg,Falkland Islands (Malvinas),2,1,"traditional, no, energy, feeling, stand",381.46
407,2,Apartment,Private room,Mcdowellton,Congo,1,3,"international, fly, wide, hit, once",270.74
408,288,Studio,Shared room,Williamsfort,Indonesia,4,3,"sit, field, pay, bring, piece",130.97
409,138,Studio,Shared room,West Jamesport,Chad,2,1,"while, list, too, say, affect",491.42
410,21,House,Shared room,Markbury,Cyprus,5,1,"particularly, morning, program, door, range",826.0
411,181,House,Private room,Timothymouth,Andorra,5,1,"water, author, father, center, day",145.61
412,128,Villa,Private room,Boyertown,Heard Island and McDonald Islands,5,2,"race, law, add, outside, firm",527.88
413,218,Studio,Shared room,East Anthonytown,Paraguay,2,3,"let, sport, such, physical, act",390.87
414,241,Studio,Private room,Christopherburgh,Switzerland,5,1,"green, debate, floor, law, television",876.5
415,2,Studio,Entire place,Port Rebecca,Hungary,1,1,"them, through, significant, local, five",116.52
416,229,Villa,Private room,Port Teresaborough,Tajikistan,3,3,"outside, attention, at, act, better",104.78
417,232,Apartment,Private room,Angelaville,Luxembourg,5,2,"on, forward, couple, music, resource",903.22
418,231,Studio,Shared room,East Sarah,Djibouti,2,2,"clear, bar, pattern, choice, sister",199.32
419,226,Studio,Private room,Michelletown,Faroe Islands,1,2,"page, stock, really, it, third",116.73
420,247,Apartment,Entire place,South Andrew,Congo,5,3,"sometimes, door, book, money, end",888.48
421,104,Villa,Shared room,Stanleyside,Ukraine,5,2,"movie, score, drug, reason, character",824.95
422,82,Apartment,Private room,Lake Ronald,Guyana,5,3,"relate, garden, fact, stop, hair",107.14
423,225,House,Entire place,Robertberg,Timor-Leste,2,2,"important, something, hope, everything, sure",546.32
424,121,Apartment,Private room,Wendyburgh,Fiji,3,2,"seven, off, why, better, occur",833.57
425,84,House,Shared room,North Martinchester,Ireland,5,2,"sell, thing, research, week, space",957.32
426,147,Villa,Private room,East James,Indonesia,5,1,"full, upon, only, Congress, area",774.65
427,117,Villa,Shared room,Mccoyton,Sierra Leone,3,1,"course, TV, good, music, offer",819.85
428,238,Studio,Shared room,Dixonbury,Slovenia,5,2,"young, Democrat, pull, lose, green",96.25
429,191,Apartment,Entire place,East Matthew,Georgia,2,3,"radio, stand, listen, learn, fish",946.2
430,262,House,Entire place,Kaufmanstad,Costa Rica,3,3,"office, lot, fine, high, yourself",206.48
431,86,Studio,Shared room,Vanessaview,French Guiana,2,1,"expect, generation, wind, appear, reduce",368.9
432,195,Villa,Entire place,Kristihaven,Guatemala,3,3,"responsibility, prevent, structure, add, answer",134.93
433,227,House,Private room,West Michaelmouth,Kyrgyz Republic,5,1,"wonder, near, finish, gas, sport",724.67
434,20,Studio,Entire place,Rayhaven,Fiji,3,1,"make, century, rate, Mrs, value",369.78
435,211,House,Shared room,New Stephen,Tuvalu,2,2,"join, tough, class, argue, generation",293.39
436,181,Studio,Shared room,Lake Philip,Kazakhstan,2,3,"son, care, population, remain, prepare",542.14
437,91,Studio,Entire place,Ochoafort,Nigeria,1,2,"without, traditional, Democrat, who, if",601.91
438,104,Villa,Entire place,Lucasmouth,Micronesia,1,1,"camera, return, involve, feel, war",650.45
439,129,Apartment,Entire place,New Philip,Paraguay,4,1,"by, firm, hand, name, establish",695.06
440,296,Studio,Shared room,North Patrickville,Norway,4,2,"culture, record, also, discover, herself",618.21
441,57,Studio,Shared room,Lake Nataliefurt,United Arab Emirates,5,2,"statement, ground, make, prepare, moment",415.9
442,132,Apartment,Shared room,West Luismouth,Azerbaijan,5,1,"agree, like, center, three, physical",608.19
443,16,Villa,Private room,South Rachel,Greenland,2,2,"court, risk, describe, summer, name",440.59
444,290,House,Entire place,North Jonburgh,El Salvador,2,3,"more, page, miss, sister, across",893.79
445,298,Studio,Private room,Tonishire,Russian Federation,3,2,"student, wonder, allow, every, PM",622.71
446,185,Villa,Private room,North Sarah,Nicaragua,1,3,"off, trial, whole, such, no",622.85
447,245,House,Entire place,Hectorfort,Tuvalu,5,3,"current, body, store, then, senior",610.02
448,34,Villa,Shared room,Larsonberg,Haiti,1,3,"let, shoulder, theory, usually, wife",458.61
449,85,Studio,Entire place,Andreachester,Mauritius,3,3,"under, inside, yet, method, certainly",431.79
450,292,Apartment,Shared room,North Carlos,Luxembourg,1,3,"staff, change, total, husband, professional",891.73
451,139,Apartment,Private room,Vasquezside,Niue,3,3,"join, institution, beyond, low, through",543.06
452,103,Apartment,Entire place,West Lisa,Monaco,2,3,"help, consider, opportunity, again, discussion",289.48
453,160,House,Shared room,East Elizabeth,Nigeria,5,3,"second, even, head, medical, several",163.44
454,136,Studio,Shared room,Dannyton,Venezuela,1,3,"myself, guy, effect, dinner, card",780.02
455,31,Studio,Private room,Thomasberg,Swaziland,4,2,"even, study, claim, her, per",756.63
456,136,Villa,Shared room,Avilaburgh,Paraguay,5,2,"do, technology, agree, stage, allow",323.07
457,88,Apartment,Private room,Heidiside,Norfolk Island,2,2,"nothing, ball, indeed, build, teach",370.12
458,263,Apartment,Entire place,Hallside,Cyprus,1,3,"program, bit, color, among, blood",975.92
459,66,Studio,Shared room,Port Amytown,Saint Martin,1,1,"feeling, poor, fast, lot, challenge",832.79
460,61,Studio,Shared room,Christinaborough,Australia,1,3,"Congress, bit, measure, two, hundred",500.16
461,146,Studio,Entire place,South Michelle,Bulgaria,3,1,"agency, now, society, threat, situation",852.68
462,274,Villa,Entire place,South Julie,Bosnia and Herzegovina,4,1,"stand, along, population, owner, item",498.41
463,137,Villa,Entire place,South Julia,Malta,4,1,"they, management, office, care, summer",325.8
464,276,Villa,Shared room,Cervantesfurt,Latvia,3,3,"fine, thus, people, career, indeed",482.69
465,129,Studio,Private room,West Laura,Tuvalu,2,2,"us, law, owner, ahead, water",922.81
466,221,Studio,Shared room,Jeanettemouth,Azerbaijan,3,2,"computer, off, she, kind, walk",851.74
467,221,Apartment,Entire place,Lucasstad,Benin,1,2,"many, lot, see, current, truth",385.83
468,174,Studio,Entire place,West Amandaton,Seychelles,3,1,"suddenly, no, so, up, once",335.9
469,172,House,Shared room,New Richard,French Polynesia,2,3,"per, health, itself, guy, imagine",868.24
470,274,Apartment,Shared room,Crystalton,Saint Vincent and the Grenadines,1,1,"face, toward, perhaps, reality, building",694.52
471,221,House,Shared room,Williamburgh,Cote d'Ivoire,3,2,"training, it, Republican, may, pass",203.12
472,298,House,Shared room,East Bradleyhaven,Niue,3,1,"crime, local, analysis, ten, without",219.39
473,21,House,Shared room,South Kevin,Macao,3,1,"wall, what, join, force, threat",822.32
474,35,Villa,Private room,Edwardside,Iraq,3,2,"activity, suffer, ask, race, theory",578.42
475,95,House,Entire place,Port Samantha,Bahrain,4,3,"capital, member, million, best, them",651.41
476,118,House,Private room,Zamoraville,Guadeloupe,1,1,"thank, some, increase, best, keep",345.47
477,11,Apartment,Entire place,West Emily,Japan,5,3,"happen, product, suffer, produce, pattern",504.47
478,286,Studio,Private room,Port Nicoleton,Mexico,1,1,"two, risk, threat, affect, list",501.95
479,143,Studio,Entire place,Keithland,Guernsey,4,2,"student, figure, alone, game, media",175.29
480,50,Villa,Entire place,Williambury,Saint Kitts and Nevis,3,1,"save, person, news, send, audience",279.09
481,41,House,Private room,Port Bethany,Pitcairn Islands,1,2,"staff, whole, concern, play, section",321.35
482,211,House,Entire place,West Amychester,Kyrgyz Republic,4,1,"address, pretty, child, design, conference",380.64
483,50,House,Shared room,South Johnborough,Congo,1,1,"indicate, order, your, social, much",874.5
484,155,Apartment,Shared room,Travisshire,Italy,2,3,"player, war, as, respond, establish",936.23
485,122,Apartment,Private room,Michaelshire,El Salvador,5,3,"morning, decision, body, style, sort",73.8
486,107,Apartment,Shared room,Lake Harry,Singapore,3,2,"section, language, west, special, likely",440.99
487,224,Villa,Private room,New Brian,Ghana,5,1,"bag, former, ability, son, which",694.86
488,270,Villa,Shared room,Port Nicholas,Dominica,5,3,"look, glass, similar, pick, provide",662.96
489,10,Studio,Shared room,South Brandon,Bahrain,5,2,"whatever, civil, grow, road, represent",708.45
490,231,Villa,Shared room,Janicehaven,New Zealand,4,2,"everybody, free, since, be, reach",385.78
491,50,Villa,Private room,Port Thomas,Antigua and Barbuda,5,1,"life, begin, back, either, large",611.06
492,91,Apartment,Entire place,East Deborahhaven,Panama,5,3,"wind, discover, moment, arm, can",658.12
493,80,Studio,Entire place,Lake Kaitlinport,Portugal,2,1,"while, democratic, little, stand, keep",211.57
494,60,Apartment,Shared room,Monicamouth,Slovakia (Slovak Republic),1,2,"term, letter, by, school, oil",292.86
495,201,Studio,Entire place,Lake Erikachester,Guatemala,4,2,"maintain, smile, father, evidence, mention",532.8
496,43,Apartment,Private room,Sabrinachester,Botswana,5,1,"until, behind, those, read, mouth",426.62
497,264,Studio,Shared room,East Nichole,United States of America,2,3,"four, man, time, I, student",553.51
498,96,Villa,Private room,Port Bradley,Reunion,2,1,"whom, other, standard, above, about",280.33
499,239,Villa,Private room,West Teresa,Gibraltar,1,3,"yard, ok, concern, stop, improve",405.54
500,234,Villa,Shared room,West Kyleville,Honduras,1,1,"measure, blue, take, own, weight",52.4
501,198,Villa,Private room,North Andrewmouth,French Guiana,3,3,"Republican, start, structure, help, friend",872.6
502,187,Villa,Private room,Whitefort,Angola,1,1,"technology, gun, if, somebody, green",72.51
503,300,Villa,Private room,Rothtown,Singapore,3,3,"skill, use, little, side, economy",133.74
504,9,House,Shared room,New Rebeccamouth,Denmark,3,1,"contain, travel, level, age, town",181.99
505,152,Apartment,Entire place,South Miranda,Congo,3,1,"baby, need, day, TV, amount",853.76
506,146,Apartment,Shared room,East Shelleychester,Jordan,4,3,"stay, box, care, research, wind",900.45
507,146,Villa,Entire place,Mcguirehaven,Kiribati,5,2,"form, but, my, argue, note",224.99
508,110,Apartment,Private room,North Matthewchester,Korea,5,3,"there, who, have, various, away",291.7
509,244,Studio,Private room,West Pamelahaven,Tanzania,4,1,"from, career, present, site, between",81.85
510,43,House,Entire place,Travisview,South Georgia and the South Sandwich Islands,3,3,"risk, result, design, decade, whose",370.35
511,173,Studio,Entire place,Leehaven,Netherlands,4,1,"of, degree, attorney, hair, week",665.04
512,290,Apartment,Shared room,South Monicahaven,Jordan,2,1,"take, training, effort, window, month",710.2
513,55,House,Private room,West Timothy,Latvia,4,1,"prevent, surface, fight, year, event",768.06
514,64,House,Entire place,North Natalie,Cambodia,5,2,"month, within, bed, quickly, eye",685.0
515,52,Villa,Entire place,Gutierrezton,Djibouti,5,2,"stay, smile, paper, population, grow",289.46
516,166,Studio,Private room,Sheilaborough,Nigeria,3,3,"major, both, space, able, debate",561.13
517,253,House,Shared room,Lake Jessicamouth,Palau,5,1,"key, environmental, question, energy, kid",298.08
518,123,Studio,Entire place,North Dorothyview,British Indian Ocean Territory (Chagos Archipelago),4,2,"per, prepare, particularly, dog, hand",844.36
519,85,Villa,Shared room,North Troy,Ghana,3,1,"often, perhaps, bag, chance, attention",407.77
520,121,House,Private room,Jasonburgh,Ireland,3,2,"of, music, surface, sort, already",953.41
521,126,House,Entire place,New Toddfort,Thailand,4,2,"consumer, stuff, student, home, level",570.87
522,295,Apartment,Entire place,South Deborahton,Belize,3,3,"evening, as, while, day, sing",381.58
523,191,Apartment,Private room,East Linda,Angola,3,2,"avoid, rather, line, herself, officer",583.59
524,120,House,Entire place,Lake Alexanderhaven,Sweden,2,3,"believe, theory, interview, but, glass",521.59
525,177,House,Private room,New Lindashire,Bosnia and Herzegovina,4,3,"measure, wide, herself, tell, big",351.01
526,253,Studio,Entire place,Jenniferchester,Kiribati,2,2,"something, these, Congress, media, see",794.62
527,57,Studio,Private room,East Chad,United States of America,1,1,"degree, state, series, very, ten",575.39
528,232,Apartment,Shared room,Nealtown,Haiti,3,1,"individual, yard, everything, option, plant",880.98
529,207,Villa,Entire place,Joneston,India,2,3,"why, near, nation, baby, somebody",804.0
530,5,Apartment,Entire place,Carolynton,Venezuela,2,2,"mean, top, oil, material, be",105.68
531,251,House,Entire place,North Michaelfort,Gibraltar,4,2,"window, toward, peace, success, cut",515.04
532,181,Studio,Entire place,Katieburgh,Gambia,2,2,"I, until, mother, woman, national",615.94
533,129,House,Private room,Brownton,Netherlands Antilles,3,3,"director, why, daughter, movie, operation",692.01
534,254,Studio,Entire place,North Richardport,Kiribati,2,1,"physical, firm, laugh, happy, security",895.38
535,61,Villa,Shared room,North Michele,Burkina Faso,2,3,"air, last, west, both, contain",326.27
536,289,House,Private room,Jamestown,Hungary,4,3,"experience, start, until, serve, among",549.31
537,22,House,Entire place,Thomasmouth,Sao Tome and Principe,4,2,"could, hospital, significant, rise, accept",703.26
538,141,Studio,Private room,Ronnieland,Bhutan,2,3,"but, have, skin, feel, yeah",933.49
539,183,Villa,Private room,New Brianland,Malawi,4,3,"government, soon, mouth, anything, parent",342.21
540,187,Studio,Entire place,North Karenton,Western Sahara,2,3,"section, inside, better, professor, establish",832.72
541,167,House,Private room,Ruizchester,Ghana,3,2,"TV, four, oil, actually, eye",645.79
542,171,Studio,Shared room,East Shelbyview,Fiji,4,3,"level, Congress, determine, movement, only",96.57
543,156,House,Shared room,Lopezland,Mauritius,4,1,"upon, western, show, have, study",216.3
544,239,Villa,Entire place,Port Thomas,Svalbard & Jan Mayen Islands,3,1,"budget, baby, common, maybe, official",599.93
545,181,House,Entire place,New Michael,El Salvador,2,2,"heavy, produce, trip, director, time",626.34
546,81,Studio,Private room,Cookshire,Saint Pierre and Miquelon,4,3,"agent, course, similar, me, rock",846.18
547,197,House,Shared room,Leechester,Venezuela,1,3,"five, body, hot, speech, level",956.79
548,229,Villa,Private room,North Reginaldville,Spain,3,1,"either, finally, improve, artist, suddenly",640.8
549,17,Apartment,Entire place,Michaelberg,Tanzania,1,2,"under, toward, election, look, customer",566.32
550,215,Studio,Entire place,Larsonton,Saint Pierre and Miquelon,5,2,"trade, security, soldier, question, network",244.48
551,232,Apartment,Shared room,West Theodorefort,Netherlands,1,1,"popular, commercial, social, leg, story",257.76
552,225,House,Private room,West James,Uganda,5,3,"process, though, upon, agency, picture",855.86
553,241,House,Private room,Georgeborough,Pitcairn Islands,1,2,"space, administration, kind, between, evidence",945.09
554,151,Villa,Shared room,West Jaimebury,Malawi,1,1,"prevent, without, spring, road, think",969.93
555,171,Villa,Entire place,Jeffreyside,Lesotho,2,1,"whether, technology, practice, interview, reality",58.01
556,190,Studio,Entire place,Charlesville,Pakistan,5,3,"watch, near, here, popular, whether",277.31
557,103,Apartment,Shared room,New Garytown,Palau,3,3,"do, wrong, quickly, growth, wear",420.04
558,116,Apartment,Shared room,Brandonhaven,Brunei Darussalam,2,2,"ten, design, various, push, important",381.17
559,44,House,Shared room,New Daniellechester,Monaco,4,2,"maybe, law, interest, southern, model",962.11
560,85,Villa,Private room,Lake Robert,Venezuela,3,3,"popular, knowledge, story, order, give",277.95
561,209,Villa,Private room,West Dwayne,Niger,2,2,"many, cold, color, law, remember",555.57
562,167,Studio,Shared room,Frankborough,Netherlands Antilles,3,1,"worry, yes, old, indicate, camera",923.12
563,233,Villa,Shared room,Lake Donaldland,Ireland,5,3,"what, begin, minute, investment, understand",809.15
564,141,Villa,Shared room,West Angela,Syrian Arab Republic,2,2,"decide, throughout, rock, possible, big",692.81
565,120,Villa,Private room,North Normatown,Albania,1,1,"throughout, hit, discuss, evidence, lot",566.15
566,202,Villa,Shared room,Clarkside,Lao People's Democratic Republic,1,2,"whether, experience, tough, five, alone",388.09
567,125,Studio,Entire place,Mitchelltown,Saint Vincent and the Grenadines,1,2,"life, suggest, change, significant, price",617.86
568,26,Villa,Private room,Amberchester,Colombia,3,3,"participant, cut, white, direction, form",854.36
569,235,House,Private room,New Sarahland,Falkland Islands (Malvinas),4,2,"many, provide, player, evening, of",279.24
570,31,Studio,Entire place,Acostaberg,Gabon,5,1,"condition, technology, region, million, safe",643.68
571,21,House,Private room,Ortizshire,Brazil,1,3,"individual, pattern, away, responsibility, education",627.5
